NOCODE_Jan-Awei	Nigeria
xtw	Brazil
xtu	Mexico
xtt	Mexico
xts	Mexico
xtq	China
xtp	Mexico
xtz	Australia
xty	Mexico
xtg	France
xte	Indonesia (Papua)
xtd	Mexico
xtc	Sudan
xtb	Mexico
xta	Mexico
xto	China
xtn	Mexico
xtm	Mexico
xtl	Mexico
xtj	Mexico
xti	Mexico
wji	Nigeria
wja	Nigeria
tmv	Democratic Republic of the Congo
mlj	Chad
NOCODE_Old-Telugu	India
NOCODE_Lwel	Democratic Republic of the Congo
NOCODE_Original-Costa-Rican-Sign	Costa Rica
NOCODE_Pyu-Burma	Myanmar
txo	India
txn	Indonesia (Papua)
txm	Indonesia (Papua)
txj	Nigeria
txi	Brazil
txh	Bulgaria
txg	China
txe	Indonesia (Papua)
txc	Canada
txb	China
txa	Malaysia (Peninsular)
NOCODE_Kuntanawa	Brazil
NOCODE_Remo-Jaquirana	Brazil
txx	Malaysia (Peninsular)
txu	Brazil
txt	Indonesia (Papua)
txs	Indonesia (Papua)
txr	Spain
txq	Indonesia (Papua)
dne	Tanzania
dnd	Papua New Guinea
dng	Uzbekistan	Kyrgyzstan	Turkmenistan	Kazakhstan	Russian Federation (Asia)	Tajikistan
dna	Indonesia (Papua)
dnn	Burkina Faso
dni	Indonesia (Papua)
dnk	Indonesia (Papua)
dnu	Myanmar
dnt	Indonesia (Papua)
dnw	Indonesia (Papua)
dnr	Papua New Guinea
dny	Brazil
jmx	Mexico
jmr	Ghana
jms	Nigeria
jmw	Papua New Guinea
jmk	Sweden
jmi	Nigeria
jmn	India
jml	Nepal
jmb	Nigeria
jmc	Tanzania
jma	Papua New Guinea
jmd	Indonesia (Papua)
NOCODE_Cholti	Guatemala
NOCODE_Horace-Holdens-Pidgin-Tobi	Palau
czt	Myanmar
czh	China
czn	Mexico
czo	China
hod	Nigeria
hoe	Nigeria
hob	Papua New Guinea
hoc	India
hoa	Solomon Islands
hoo	Democratic Republic of the Congo
hol	Democratic Republic of the Congo	Angola
hom	Sudan
hoj	India
hoh	Oman	Yemen
hoi	United States
hov	Indonesia (Papua)
how	China
hot	Papua New Guinea
hor	Chad
hos	Viet Nam
hop	United States
hoz	Ethiopia
hoy	India
NOCODE_Maku	Brazil
NOCODE_New-South-Wales-Pidgin	Australia
NOCODE_Uwinymil	Australia
NOCODE_Arazaire	Peru
NOCODE_Palewyami-Yokuts	United States
fir	Nigeria
fip	Tanzania	Malawi
fiw	Papua New Guinea
fit	Sweden	Finland
fia	Egypt	Sudan
fie	Nigeria
fij	United States	Nauru	Fiji	New Zealand	Vanuatu
fin	Canada	United States	Estonia	Finland	Russian Federation (Asia)	Sweden	Norway
zad	United States	Mexico
fil	Philippines
NOCODE_Bacama-Yimburu	Nigeria
NOCODE_Serengeti-Dorobo	Tanzania
tch	Turks and Caicos Islands
NOCODE_Coroado-Puri	Brazil
mdj	Democratic Republic of the Congo
mdk	Democratic Republic of the Congo
mdh	Philippines
mdi	Democratic Republic of the Congo
mdn	Central African Republic
mdl	Malta
mdm	Democratic Republic of the Congo
mdb	Papua New Guinea
mdc	Papua New Guinea
mda	Nigeria
mdf	Russian Federation (Asia)
mdg	Chad
mdd	United States	Cameroon	Central African Republic
mde	Chad
mdz	Brazil
mdx	Ethiopia
mdy	Ethiopia
NOCODE_Mokpa	Democratic Republic of the Congo
mdr	Indonesia (Papua)
mds	Papua New Guinea
mdp	Democratic Republic of the Congo
mdq	Democratic Republic of the Congo
mdv	Mexico
mdw	Congo
mdt	Congo	Gabon
mdu	Congo
NOCODE_Macuni	Brazil
smz	Papua New Guinea
smy	Iran
smx	Democratic Republic of the Congo
smw	Indonesia (Papua)
smv	India
smu	Cambodia
smt	India
sms	Russian Federation (Asia)	Finland
smr	Indonesia (Papua)
smq	Papua New Guinea
smp	Israel	Palestinian West Bank and Gaza
dsn	Indonesia (Papua)
dso	India
smm	Nepal
sml	Philippines
smk	Philippines
smj	Sweden	Norway
dsh	Ethiopia	Kenya
smh	China
smg	Papua New Guinea
smf	Papua New Guinea
sme	Sweden	Finland	Norway
smd	Angola
dsb	United States	Germany
smb	Papua New Guinea
sma	Sweden	Norway
syo	Cambodia
syn	United States	Australia	Iran
ian	Papua New Guinea
atg	Nigeria
atd	Philippines
ate	Papua New Guinea
atb	China	Myanmar
atc	Peru
ata	Papua New Guinea
atn	Iran
ato	Cameroon
atl	Philippines
atm	Philippines
atj	Canada
atk	Philippines
ati	Côte d'Ivoire
atv	Russian Federation (Asia)
atw	United States
att	Philippines
atu	Sudan
atr	Brazil
ats	United States
atp	Philippines
atq	Indonesia (Papua)
atz	Philippines
atx	Brazil	Venezuela
aty	Vanuatu
kfv	Nepal	India
kfw	India
kft	India
kfu	India
kfr	Kenya	Tanzania	India	Malawi	Pakistan
qkn	India
kfp	India
kfq	India
kfz	Burkina Faso	Mali
kfx	India
kfy	India
kff	India
kfg	India
kfd	India
kfe	India
kfb	India
kfc	India
kfa	India
kfn	Cameroon
kfo	Côte d'Ivoire
kfl	Cameroon
kfm	Iran
kfk	India
kfh	India
kfi	India
xia	China
NOCODE_Lule	Argentina
xii	Namibia	South Africa
NOCODE_Old-Cayman-Sign	Cayman Islands
xil	Albania
xin	Guatemala
xip	Brazil
xir	Brazil
xiy	Brazil
NOCODE_Rocorona	Bolivia
nzs	New Zealand
nzu	Congo
nzz	Mali
nzy	Cameroon	Chad
nzb	Congo	Gabon
nza	Nigeria	Cameroon
NOCODE_Bapen	Senegal
nzk	Democratic Republic of the Congo	Central African Republic
nzi	Ghana	Côte d'Ivoire
nzm	India
NOCODE_Solombala-English	Russia
vgt	Belgium
vgr	Pakistan
NOCODE_Broken-Slavey	Canada
lpx	Sudan
lpo	China
lpn	Myanmar
lpe	Indonesia (Papua)
lpa	Vanuatu
neb	Côte d'Ivoire
ztm	Mexico
ztl	Mexico
ztn	Mexico
zte	Mexico
ztg	Mexico
NOCODE_Oyster-Bay-Big-River-Little-Swanport	Australia
zty	Mexico
ztx	Mexico
ztu	Mexico
ztt	Mexico
ztq	Mexico
ztp	Mexico
zts	Mexico
NOCODE_Gudjal	Australia
NOCODE_Millcayac	Argentina
NOCODE_Cotoxo	Brazil
irx	Indonesia (Papua)
iry	Philippines
irr	Laos
iru	India
xvi	Afghanistan	Pakistan
iri	Nigeria
irk	Tanzania
NOCODE_Patagon	Peru
irn	Brazil
xve	Italy
ire	Indonesia (Papua)
wtw	Indonesia (Papua)
cuu	Thailand	China
rgs	Viet Nam
wtf	Papua New Guinea
wti	Sudan	Ethiopia
wtk	Papua New Guinea
wtm	India
rgu	Indonesia (Papua)
NOCODE_Yagara	Australia
ane	New Caledonia
NOCODE_Aruan	Brazil
anf	Ghana
prf	Philippines
gxx	Côte d'Ivoire
frc	United States
fra	Canada	Madagascar	Italy	U.S. Virgin Islands	Guinea	Saint Pierre and Miquelon	Mali	Cambodia	France	Andorra	Democratic Republic of the Congo	Saudi Arabia	Rwanda	Vanuatu	Cameroon	Burkina Faso	Benin	Israel	Lebanon	Algeria	Austria	Togo	Martinique	Belgium	Senegal	Haiti	French Polynesia	Mauritania	Libya	Mayotte	Philippines	Puerto Rico	Central African Republic	New Caledonia	Mauritius	Morocco	Réunion	Gabon	Luxembourg	Monaco	Switzerland	Wallis and Futuna	Guadeloupe	Côte d'Ivoire	United States	Seychelles	Chad	Equatorial Guinea	Tunisia	United Arab Emirates	South Africa	India	United Kingdom	Djibouti	Congo	Mozambique	Burundi	French Guiana	Niger	Comoros
prc	Afghanistan
frd	Indonesia (Papua)
frk	Germany
prb	Thailand
fro	France
frs	Canada	United States	Germany
frr	Germany
frq	Papua New Guinea
frp	Switzerland	Italy	France
frt	Vanuatu
cuc	Mexico
fry	Netherlands
pro	France
cub	Brazil	Venezuela	Colombia
ano	Colombia
anh	Papua New Guinea
prh	Philippines
anj	Papua New Guinea
cum	Colombia
pru	Indonesia (Papua)
cul	Brazil	Peru
anu	Sudan	Ethiopia
anv	Cameroon
sjr	Papua New Guinea
rgn	Italy
NOCODE_Belle-Isle-Pidgin	Canada
sjp	India
NOCODE_Bauxite	Guinea
tzs	Mexico
tzu	Mexico
tzt	Guatemala
tzx	Papua New Guinea
tzz	Mexico
drt	Netherlands
tza	Tanzania
tzc	Mexico
tzb	Mexico
tze	Mexico
sjt	Russian Federation (Asia)
tzi	China
tzh	Mexico
tzj	Guatemala
tzm	Morocco	Algeria	France
tzl	United States
tzo	Mexico
tzn	Indonesia (Papua)
dho	India
dhn	India
dhm	Namibia	Angola
dhl	Australia
dhi	Nepal	India
sjk	Finland
dhg	Australia
anx	Papua New Guinea
dhd	India
dha	India
prx	India
dhw	Nepal
dhv	New Caledonia
dhu	Australia
dhs	Tanzania
dhr	Australia
drl	Australia
sjl	India
jku	Nigeria
sjm	Philippines	Malaysia (Peninsular)
jkr	India
jkm	Myanmar
jko	Papua New Guinea
drb	Sudan
sjg	Chad
drg	Malaysia (Peninsular)
hah	Papua New Guinea
bnz	Cameroon
bny	Malaysia (Peninsular)
hak	Canada	Brunei	United States	Singapore	Panama	South Africa	Malaysia (Peninsular)	French Polynesia	United Kingdom	Indonesia (Papua)	French Guiana	Suriname	Thailand	China	New Zealand	Mauritius	Taiwan
hal	Viet Nam	Laos
ham	Papua New Guinea
han	Tanzania
hao	Papua New Guinea
bns	India
haa	Canada	United States
bnq	Indonesia (Papua)
