Yokutsan	Yokutsan	**75074**	
Karuk	Karuk	**75074**	
Yurumangui	Yurumanguí	**41201**	
East_Kutubu	East Kutubu	**28103**	The link to Fasu is premature because counting framework and kinship terms are precisely the kind of argument that is not conclusive of a genetic relationship **28103**:311.
Kamakanan	Kamakanan	**79381**	The lexical similarities to Jê and Fulniô adduced by Loukotka **158410** remain to be corroborated using Kamakanan proto-forms **79381**.
Kakua-Nukak	Kakua-Nukak	**21440**, **153689**	
Yuki-Wappo	Yuki-Wappo	**114836**:192-193	
Meroitic	Meroitic	**122717**, **106913**	The best case for an Eastern Sudanic (of Nilo-Saharan) affilition is **122717**, but the comparisons where the meaning of the Meroitic word is known independently, are too few to be convincing, and the comparisons where the meaning of the Meroitic word is not known but inferred from the comparisons, are circular.
Huavean	Huavean	**75074**	
Barbacoan	Barbacoan	**147664**	Also includes Cañari **118631**.
Gumuz	Gumuz	**121161**, **20015**	Gumuz doesn't not show much in the way of alleged Nilo-Saharan features **121161**, **20015**.
Caddoan	Caddoan	**325893**	
Saharan	Saharan	**148657**, **115773**, **306277**, **315371**	No conclusive, methodologically sound basis for assigning Saharan to an alleged full or partial Nilo-Saharan has been presented **25272**, **28737**, **300290**.
Tirio	Tirio	**125387**	Wurm's arguments **125387**:327-335 appear to be unreliable lexicostatics and typological features.
Andaqui	Andaquí	**41201**	
Savosavo	Savosavo	**16918**, **301848**	
Maiduan	Maiduan	**75074**	
Worrorran	Worrorran	**154604**	
Huarpean	Huarpean	**41201**	
Tunica	Tunica	**75074**	
Dizoid	Dizoid	**316000**	The resemablances between Dizoid and Ta-Ne-Omotic languages (especially Bench) are best explained as loans **316000**:373-374. Dizoid features no other reason or diagnostic features to be classified as Afro-Asiatic **50165**, **64510**, **72248**, **25921**, **302560**, **316000**.
Lavukaleve	Lavukaleve	**16918**, **301848**	
Kungarakany	Kungarakany	**132097**, **5516**	Evidence for an Arnhem family or a Gunwinyguan affiliation is not sufficient.
Morehead-Wasur	Morehead-Wasur	**125387**	Wurm's arguments **125387**:327-335 appear to be unreliable lexicostatics and typological features.
Dravidian	Dravidian	**82475**	There appear to be no data to the effect that Bazigar Boli is a Dravidian language **128641**
Western_Daly	Western Daly	**132097**:13 **43209** **42990**	
Tanahmerah	Tanahmerah	**10496** **300404**:424-431	Links with Mairasi are unconvincing lexically and pronominally **300404**:424-431.
Northern_Daly	Northern Daly	**132097**:13 **43209**	
Bangi_Me	Bangi Me	**76582**	
Kamula	Kamula	**112728**:13-18 **104618**:7	
Duranmin	Duranmin	**30504**, **109325**, **22758**	Typological arguments are not sufficient to conclude a Leonard Schultze family with Walio **30504**. Neither is the shared animate-suffix with Walio conclusive of a genetic relation **22758**. The lexical evidence does not show any conclusive genetic relationship either, be it inside or outside Leonard Schultze **109325**, or with Papi **22758** (a higher figure (29\%) of Papi-Duranmin lexicostatistical relations quoted by Laycock earlier, is superseded by the later, below 10\%, figures of Conrad and Lewis).
Fasu	Fasu	**28103**	The link to East Kutubuan is premature because counting system and kinship terms are precisely the kind of argument that is not conclusive of a genetic relationship **28103**:311.
Esselen	Esselen	**75074**	
Kehu	Kehu	**310351**	There are some parallels with Lakes Plain languages drawn up in **110572**.
Yurakare	Yurakare	**17778**	
Algic	Algic	**86368** **159528** **114836**	
Dogon	Dogon	**150573**, **135358**	Dogon has not yet been shown to contain systematic sound correspondences, noun class systems or verbal extensions to Niger-Congo in some form. Baŋgi Me is taken out of Dogon in view of **76582**.
Otomaco	Otomaco	**41201**	
Elseng	Elseng	**141825**	
Mirndi	Mirndi	**5356**	
Nuclear_Torricelli	Nuclear Torricelli	**31301**, **77430**, **91400**	No evidence for the Bogia (Monumbo) languages being related to other Torricelli languages was ever presented **65275**. The low lexicostatistical figures from Wom [wmo] **97332**:8 notwithstanding, inspection of Wom lexicon shows many obvious correspondences with Torricelli languages (I wish to thank Tim Usher and Matthew Dryer for convincing me of this) but the wide range of lexicostatistical similarity between Wom and various Arapeshan and Kombioic languages suggests than many items are borrowed, so do not constitute unequivocal evidence for subgrouping Wom with Kombioic and Arapeshan.
North_Bougainville	North Bougainville	**103017**, **115132** **95683**:17-24	
Maratino	Maratino	**75074**	
Kujarge	Kujargé	**121033**	
Mura-Piraha	Mura-Pirahã	**136593**	
Hibito-Cholon	Hibito-Cholon	**41201**:461-463	
Nadahup	Nadahup	**60268**:5-9 **30305**, **153689**	
Tacanan	Tacanan	\Xcite[9]{g:Guillaume:Cavinena,hv:Girard:Proto-Takanan}	
Candoshi-Shapra	Candoshi-Shapra	**41201**	
Anson_Bay	Anson Bay	**132097**:13 **43209** **42990**	
Peba-Yagua	Peba-Yagua	**58705**, **62424**	
Shom_Pen	Shom Pen	**117068**	The language described in **117068** has a vocabulary that is clearly not cognate with Austroasiatic, though there are question marks for some of the data.
Katla-Tima	Katla-Tima	**13873**	Katla and Tima are related **160138**:190-196. There is no reason to adhere to the suggestion of a relationship to Heiban, Narrow Talodi, Tegem or Rashad **13873**, **103725**, since there are no noun classes and the lexical evidence is weak in the extreme **138062**.
Kadugli-Krongo	Kadugli-Krongo	**21888**	
Temein	Temein	**160138**, **57348**	No conclusive, methodologically sound basis for assigning Temein to Eastern Sudanic **145233** or to an alleged full or partial Nilo-Saharan has been presented **25272**, **28737**, **300290**.
Mombum	Mombum	**300404**:396-398	Pronouns do not match sufficiently well for an immediate Trans New Guinea affiliation, and apart from this, there are only capricious lexical similarities to other families **300404**:396-398. Internally, Koneraw and Mombum (aka Komelom) can be seen to be related from the basic vocabulary correspondences in **82257**.
Maban	Maban	**93615** **139914**	No conclusive, methodologically sound basis for assigning Maban to an alleged full or partial Nilo-Saharan has been presented **25272**, **28737**, **300290**. The evidence that Mimi-Nachtigal is Maban is slight but convincing **139914**.
Molof	Molof	**141825**	
Border	Border	**300404** **43642**	Waris, Taikat, Bewani
Somahai	Somahai	**126692**	No obvious lexical or other significant links with Mek, Western Ok, Awyu-Dumut or Bayono-Awbono.
Kolopom	Kolopom	**300404**	I am unable to find arguments for Trans New Guinea affiliation in **300404** and there is no obvious relation.
Turama-Kikori	Turama-Kikori	**31301** **303435**:263-267	
Hmong-Mien	Hmong-Mien	**115285**	
Lencan	Lencan	**75074**	Interesting links have been noted with Misumalpan **126544**.
Wiru	Wiru	**112099**	Wiru shares some cultural vocabulary and some typological features with Engan **112099** but is otherwise very different **97156**. I am indebted to Tim Usher for bringing to my attention how different Wiru actually is from Engan.
Cahuapanan	Cahuapanan	**111165**	
Beothuk	Beothuk	**75074**:289-290	
Papi	Papi	**30504**, **109325**, **22758**	Typological arguments are not sufficient to conclude a Leonard Schultze family with Walio **30504**. The lexical evidence does not show any conclusive genetic relationship either, be it inside or outside Leonard Schultze **109325**, or with Duranmin **22758** (a higher figure (29\%) of Papi-Duranmin lexicostatistical relations quoted by Laycock earlier, is superseded by the later, below 10\%, figures of Conrad and Lewis).
Sahaptian	Sahaptian	**75074**	There are interesting parallels to Wintuan and the rest of Plateau Penutian (= Molala and Klamath-Modoc) **106965**.
Otomanguean	Otomanguean	**75074** **325354**	
Iranxe	Iranxe	**50652**	
