blv	blv	**hw:Koelle:Polyglotta**
nwr	nwr	**hw:Ray:ESEPapua**
Bainounk	Bainounk	**styp:Cobbinah:Bainounk-Gubeeher**:31-34
Warekena-Mandahuaca	Warekena-Mandahuaca	**hvw:Ramirez:Arawak**:329-349
Manding	Manding	**hv:Galtier:Mandingues**
Mainland North Halmaheran	Mainland North Halmaheran	**hv:GrimesGrimes:NMoluccas**:51-54
Chutic	Chutic	**hv:Sidwell:Austroasiatic:2015**:205
Western Shinaic	Western Shinaic	**hv:Liljegren:Dangari**
mws	mws	**hv:Hinnebusch:Contact-Lexicostatistics**
mwp	mwp	**hv:Alpheretal:WTorres** **hv:BowernAtkinson:Pama-Nyungan**:833-834
aue	aue	**hv:HeineHonken:Kxa**
Northwestern Mande	Northwestern Mande	**hvtyp:Kastenholz:Samogo**:100 **hv:Kastenholz:West-Mande**
Huavean	Huavean	**g:Kim:Huave**:3 **hvw:Suarez:Huaves**
mwz	mwz	**he:Moeller:Orientale-Congo**
auj	auj	**hv:Kossmann:Proto-Berbere**:31 **hv:Kossmann:Arabic-Berber**:25
Mijikenda	Mijikenda	**hv:NursePhilippson:EAfrica**
mwa	mwa	**hvsoc:Lithgow:Fergusson-Normanby** **hvld:Lithgow:Milne**
aur	aur	**hv:Laycock:Sepik**:14
aut	aut	**hvld:Fischer:Austral**
aux	aux	**v:Mello:Aure-Aura**
Central Ngayarda	Central Ngayarda	**hv:BowernAtkinson:Pama-Nyungan**
Ewondo-Bebele	Ewondo-Bebele	**hvw:Wega:Polri**
Iranian	Iranian	**hv:Schmitt:Iranischen**
Northern Pama	Northern Pama	**hv:Hale:Paman**
cwa	cwa	**h:Tanzania:Tanzania**:xi
Bandjalangic	Bandjalangic	**hvw:Jefferies:Guwar**
Maiduan	Maiduan	**hvb:Golla:California**
Worrorran	Worrorran	**hv:McGregorRumsey:Worrorran**
Athapaskan	Athapaskan	**hv:Campbell:1997**
Seuta	Seuta	**hv:NursePhilippson:EAfrica**
Sena-Nyanja	Sena-Nyanja	**hv:Bastinetal:Bantu**:220
cml	cml	**hvw:GrimesGrimes:South-Sulawesi**:30-32
Daic	Daic	**hvld:Luo:Zhuang** **hv:Pittayaporn:Proto-Tai** **hv:EdmondsonSolnit:Kadai-Tai:Introduction**
Nungish	Nungish	**hv:Matisoff:Jingpho**:3-6 **hv:Bradley:Tibeto-Burman:1997**:32-35 **hv:Bradley:Tibeto-Burman**:93-94
Sere-Ngbaka-Mba	Sere-Ngbaka-Mba	**h:BoydPasch:Sere-Ngbaka-Mba**
cms	cms	**hv:Clackson:Indo-European**:7 **ld:deSimoneMarchesini:Messapicae**
cmr	cmr	**hvw:Hartmann:Southern-Chin**
Arandic	Arandic	**hv:Koch:Arandic**
Kazhou-Samu	Kazhou-Samu	**hvw:Lama:Nisoic**:157
