WebCal	iso-dial	name	parent	SILNAME	phylum	group	subgrp	geo (lon,lat)	notes
00001	bjg-bu	bijogo-kagbaaga	90034	BIDYOGO	Niger-Congo	Atlantique	Centre	-15.85,11.25	île de Bubaque
00002	bjg-ko	bijogo-kanyaki	90034	BIDYOGO	Niger-Congo	Atlantique	Centre	-15.70,11.25	île de Canhabaque
00003	bjg-or	bijogo-kajoko	90034	BIDYOGO	Niger-Congo	Atlantique	Centre	-16.13,11.14	îles de Orango, Uno
00004	bjg-ca	bijogo-kamona	90034	BIDYOGO	Niger-Congo	Atlantique	Centre	-16.27,11.50	îles de Caravela, Caraxe, Maio
00005	bjt-aa	balante-fca	90206	BALANTA-GANJA	Niger-Congo	Atlantique	Bak	-15.65,12.55	= ganja
00006	ble-aa	balante kentohe	90206	BALANTA-KENTOHE	Niger-Congo	Atlantique	Bak	-15.50,12.35	
00007	bda-aa	bayot	90204	BAYOT	Niger-Congo	Atlantique	Bak	-16.37,12.48	
00008	bqj-aa	joola banjal	90203	BANDIAL	Niger-Congo	Atlantique	Bak	-16.41,12.57	Ensemble Joola
00009	gsl-aa	joola gusilay	90203	GUSILAY	Niger-Congo	Atlantique	Bak	-16.48,12.77	Ensemble Joola
00010	eja-aa	joola ejamat	90203	EJAMAT	Niger-Congo	Atlantique	Bak	-16.20,12.40	Ensemble Joola
00011	hhr-aa	keerak	90203	KERAK	Niger-Congo	Atlantique	Bak	-16.68,12.36	Ensemble Joola
00012	dyo-aa	joola fogny	90203	JOLA-FOGNY	Niger-Congo	Atlantique	Bak	-16.20,12.94	Ensemble Joola
00013	csk-aa	joola kasa	90203	JOLA-KASA	Niger-Congo	Atlantique	Bak	-16.30,12.40	Ensemble Joola
00014	csk-es	joola kasa esuulaalu	90203	JOLA-KASA	Niger-Congo	Atlantique	Bak	-16.60,12.55	Ensemble Joola
00015	krx-aa	joola karon	90203	KARON	Niger-Congo	Atlantique	Bak	-16.69,12.80	Ensemble Joola
00016	mlo-aa	joola mlomp	90203	MLOMP	Niger-Congo	Atlantique	Bak	-16.51,12.82	Ensemble Joola
00017	cwt-aa	joola kwaatay	90203	KUWAATAAY	Niger-Congo	Atlantique	Bak	-16.73,12.48	Ensemble Joola
00018	mfv-aa	manjaku	90205	MANDJAK	Niger-Congo	Atlantique	Bak	-16.13,12.15	
00019	mfv-ul	manjaku-Ulund	90205	MANDJAK	Niger-Congo	Atlantique	Bak	-15.95,12.12	
00020	mfv-pe	manjaku-Pecixe	90205	MANDJAK	Niger-Congo	Atlantique	Bak	-16.08,11.83	
00021	mfv-ta	manjaku-Tame	90205	MANDJAK	Niger-Congo	Atlantique	Bak	-15.86,12.25	
00022	mfv-cu	manjaku-Churo	90205	MANDJAK	Niger-Congo	Atlantique	Bak	-16.00,12.34	
00023	mfv-bx	manjaku-Baixo	90205	MANDJAK	Niger-Congo	Atlantique	Bak	-16.05,12.15	
00024	mfv-ba	manjaku-Bassarel	90205	MANDJAK	Niger-Congo	Atlantique	Bak	-16.18,12.12	
00025	knf-aa	mankanya	90205	MANKANYA	Niger-Congo	Atlantique	Bak	-15.70,12.10	
00026	pbo-aa	pepel	90205	PAPEL	Niger-Congo	Atlantique	Bak	-15.83,11.88	
00027	cae-aa	laala	90037	LEHAR	Niger-Congo	Atlantique	Nord	-16.83,14.95	
00028	ndv-aa	ndut	90037	NDUT	Niger-Congo	Atlantique	Nord	-16.98,14.91	
00029	snf-aa	noon	90037	NOON	Niger-Congo	Atlantique	Nord	-16.88,14.83	
00030	fap-aa	palor	90037	PALOR	Niger-Congo	Atlantique	Nord	-16.92,14.89	
00031	sav-aa	safen	90037	SAAFI-SAAFI	Niger-Congo	Atlantique	Nord	-17.00,14.66	
00032	bcz-ny	nyun (Nyamone)	90128	BAINOUK-GUNYAAMOLO	Niger-Congo	Atlantique	Nord	-16.33,12.73	
00033	bcz-to	nyun (Tobor)	90128	BAINOUK-GUNYAAMOLO	Niger-Congo	Atlantique	Nord	-15.68,13.02	
00034	bcz-jx	nyun-jaaxet	90128	BAINOUK-GUNYAAMOLO	Niger-Congo	Atlantique	Nord	-15.78,13.00	
00035	bab-so	nyun (Sonkodou)	90128	BAINOUK-GUNYUNYO	Niger-Congo	Atlantique	Nord	-15.14,13.19	
00036	bab-ja	nyun (Jasi, Buje)	90128	BAINOUK-GUNYUNYO	Niger-Congo	Atlantique	Nord	-15.75,12.70	
