apics	APiCS	"Collected by the editors of the Atlas of Pidgin and Creole Language Structures at MPI-EVA Leipzig in 2012."
zurich	Zurich	"Bibliographical references collected by members of the Department of Linguistics, University of Zurich and supplied by Fernando Z��iga in 2009."
hh	HH	"The bibliography of HH, typed in between 2005-2014. It has been annotated by hand (type and language). It contains descriptive material from all over the world, mostly lesser-known languages."
mpieva	MPIEVA	"The linguistics part of the MPI EVA catalogue (accumulated 1998-2009), autoqueried down from http://biblio.eva.mpg.de/ by HH in Aug 2009. It contains descriptive material from all over the world, mostly lesser-known languages. The bulk of it has been annotated by hand (type and language)."
fabreall2009ann	Fabre	"Alain Fabre's Diccionario Etnoling��stico y Gu�a Bibliogr�fica de los Pueblos
Ind�genas Sudamericanos which has been elaborated since the 1990s, with the
help of contibutions from experts. Earlier versions have appeared as:

Fabre, Alain. (1994) Las Lenguas Ind�genas Sudamericanas en la Actualidad: Diccionario Etnoling��stico Clasificatorio y Gu�a Bibliogr�fica. Published by the Author, Tampere.  

Fabre, Alain. (1998) Manual de las lenguas ind�genas sudamericanas, I-II (LINCOM Handbooks in Linguistics 4-5). M�nchen: Lincom. 

Since 2005, there has been a continually updated electronic version
posted http://butler.cc.tut.fi/~fabre/BookInternetVersio/Alkusivu.html
(accessed 10 Apr 2011). The bibliography included here is a version of
the documents from the summer of 2009 and was automatically parsed by
HH. The automatical parsing could not be done error-free and a number
of such errors have yet to be weeded out. It was annotated for
language, using Fabre's well-informed language divisions. It was
automatically matched with iso-639-3 languages -- a conversion which
has glitches for some closely related varities. The collection
contains entries of linguistics and ethnography of South American
Indian peoples."
sil16	SIL	"A collection of references to vernacular and descriptive publications
produced by SIL affiliated individuals. It contains entries from the
whole world and is annotated for type and language. It was autoqueried
down from www.ethnologue.com/bibliography.asp and parsed by HH in 2009."
asjp2010	ASJP	"A collection of references to descriptive publications from all over
the world, used as sources for the ASJP project
(http://email.eva.mpg.de/~wichmann/ASJPHomePage.htm accessed 10 Apr 2011).
It is annotated for language. The present collection was culled down
by HH in May 2010 from http://lingweb.eva.mpg.de/asjp/index.php/ASJP
and subsequently parsed, though not without parsing errors."
eballiso2009	Maho	"A collection of references taken from the ongoing EBALL (Electronic
Bibliography of African Languages and Linguistics) by Jouni Maho
(1992-2009).  EBALL includes includes any linguistically related
publications concerning languages in Africa and is annotated for type
and language. The present collection is an excerpt from 2009 and was
tailored to Maho's well-informed language divisions. It was
automatically matched with iso-639-3 languages by HH -- a conversion
which has glitches for some closely related varities. The user guide
to EBALL explains all the conventions and functionality of EBALL
(http://goto.glocalnet.net/eball/eballguide.pdf, 201 pp, revised
2010-05-19 accessed 10 Apr 2011). Only the references themselves and
the converted language identification data have been lifted from
EBALL. The remaining functionality of EBALL, such as the elaborate
annotation scheme, is not featured in LangDoc."
silpng	SILPNG	"A collection of references of the SIL Papua New Guinea branch 1956-2004,
as listed in the following print bibliographies:

Akerson, Paula & Bonita E. R. Moeckel. (1992) Bibliography of the Summer Institute of Linguistics Papua New Guinea Branch 1956--1990. Ukarumpa, Eastern Highlands Province, Papua New Guinea: Summer Institute of Linguistics.

Linden, Liz. (2003) Bibliography of the Summer Institute of Linguistics Papua New Guinea Branch 1991-2000. Ukarumpa, Eastern Highlands Province, Papua New Guinea: Summer Institute of Linguistics.

Feldpausch, Becky. (2005) Bibliography of the SIL Papua New Guinea Branch 2001-2003 including materials produced by the Bible Translation Association of Papua New Guinea in cooperation with SIL. Ukarumpa, Eastern Highlands Province, Papua New Guinea: Summer Institute of Linguistics. 

Feldpausch, Becky. (2005) Bibliography of the SIL Papua New Guinea Branch 2004   including materials produced by the Bible Translation Association of Papua New Guinea in cooperation with SIL. Ukarumpa, Eastern Highlands Province, Papua New Guinea: Summer Institute of Linguistics.  

It contains mainly vernacular but also many descriptive publications and
is annotated for language and type. It was automatically parsed by HH in
2009 and contains parsing errors."
weball	WEBBALL	"A collection of references taken from the ongoing EBALL (Electronic
Bibliography of African Languages and Linguistics) by Jouni Maho
(1992-2005) and subsequently elaborated on (2005-2009)
by Guillaume S�g�rer. The present collection was autoqueried down
by HH from http://sumale.vjf.cnrs.fr/Biblio/ in 2009.
It is annotated for type and language. It was automatically matched
with iso-639-3 languages by HH -- a conversion which has glitches for
some closely related varities."
